libutf8proc 2.11.3-1
libuv 1.52.1-1
libva 2.23.0-2
libvdpau 1.5-4
libverto 0.3.2-6
libvirt 1:12.5.0-1
libvirt-glib 5.0.0-3
libvirt-python 1:12.5.0-1
libvisio 0.1.11-1
libvlc 3.0.23_2-9
libvolk 2:3.3.0-1
libvorbis 1.3.7-4
libvpl 2.17.0-1
libvpx 1.16.0-3
libvterm 0.3.3-2
libwacom 2.19.0-1
libwebp 1.6.0-2
libwebsockets 4.5.8-1
libwireplumber 0.5.15-1
libwmf 0.2.15-1
libwpd 0.10.3-6
libwps 0.4.14-4
libx11 1.8.13-1
libxau 1.0.12-1
libxaw 1.0.16-2
libxcb 1.17.0-1
libxcomposite 0.4.7-1
libxcrypt 4.5.2-1
libxcrypt-compat 4.5.2-1
libxcursor 1.2.3-1
libxcvt 0.1.3-1
libxdamage 1.1.7-1
libxdmcp 1.1.5-2
libxdp 1.6.3-1
libxext 1.3.7-1
libxfixes 6.0.2-1
libxfont2 2.0.7-1
libxft 2.3.9-1
libxi 1.8.3-1
libxinerama 1.1.6-1
libxkbcommon 1.13.2-1
libxkbcommon-x11 1.13.2-1
libxkbfile 1.2.0-1
libxml2 2.15.3-1
libxmlb 0.3.28-1
libxmu 1.3.1-1
libxpm 3.5.19-1
libxrandr 1.5.5-1
libxrender 0.9.12-1
libxshmfence 1.3.3-1
libxslt 1.1.45-2
libxss 1.2.5-1
libxt 1.3.1-1
libxtst 1.2.5-1
libxv 1.0.13-1
libxxf86vm 1.1.7-1
libyaml 0.2.5-3
libyuv r2426+464c51a03-1
libzip 1.11.4-1
libzmf 0.0.2-20
licenses 20240728-1
lilv 0.28.0-1
linux 7.1.2.arch3-1
linux-api-headers 7.1-1
linux-firmware 20260622-1
linux-firmware-amdgpu 20260622-1
linux-firmware-atheros 20260622-1
linux-firmware-broadcom 20260622-1
linux-firmware-cirrus 20260622-1
linux-firmware-intel 20260622-1
linux-firmware-mediatek 20260622-1
linux-firmware-nvidia 20260622-1
linux-firmware-other 20260622-1
linux-firmware-radeon 20260622-1
linux-firmware-realtek 20260622-1
linux-firmware-whence 20260622-1
linux-headers 7.1.2.arch3-1
linux-lts 6.18.38-1
linux-lts-headers 6.18.38-1
litehtml0.9 0.9-2
lld 22.1.6-1
llhttp 9.3.1-1
llvm 22.1.6-1
llvm-libs 22.1.6-1
llvm21 21.1.8-1
llvm21-libs 21.1.8-1
lm_sensors 1:3.6.2-1
lmdb 0.9.35-1
lpsolve 5.5.2.14-1
lsb-release 2.0.r55.a25a4fc-1
lsof 4.99.7-1
lua 5.5.0-2
lua51 5.1.5-13
lua51-lpeg 1.1.0-5
lua53 5.3.6-4
lua54 5.4.8-6
luajit 2.1.1782726002+a2bde60-1
lv2 1.18.10-2
lvm2 2.03.41-1
lz4 1:1.10.0-2
lzo 2.10-5
m4 1.4.21-2
macchanger 1.7.0-6
mailcap 2.1.54-2
make 4.4.1-3
man-db 2.13.1-1
man-pages 6.18-1
mbedtls 3.6.5-1
md4c 0.5.3-1
mdadm 4.6-2
media-player-info 26-1
mesa 1:26.0.2-1
meson 1.11.1-3
minicom 2.11.1-3
minizip 1:1.3.2-3
mkinitcpio 41-4
mkinitcpio-busybox 1.36.1-1
mobile-broadband-provider-info 20251101-1
mosquitto 2.1.2-2
mpdecimal 4.0.1-3
mpfr 4.2.2-1
mpg123 1.33.5-1
msgpack-c 7.0.1-1
mtdev 1.1.7-1
multipath-tools 0.14.3-1
muparser 2.3.5-2
mupdf 1.27.2-2
mypaint-brushes 2.0.2-2
mypaint-brushes1 1.3.1-2
ncurses 6.6-2
ndctl 85-1
neon 0.37.1-1
neovim 0.12.3-1
net-tools 2.10-3
nettle 4.0-1
networkmanager 1.56.1-1
nftables 1:1.1.6-3
ni-visa 17.0.0-3
ninja 1.13.2-3
nmap 7.99-2
node-gyp 13.0.1-1
nodejs 26.4.0-1
nodejs-nopt 10.0.1-1
noto-fonts-cjk 20240730-1
noto-fonts-emoji 1:2.051-1
npm 11.18.0-1
npth 1.8-1
nspr 4.39-1
nss 3.125-1
numactl 2.0.19-1
obs-studio 32.1.2-7
obsidian 1.12.7-3
ocl-icd 2.3.4-1
okular 26.04.3-1
onetbb 2023.0.0-1
oniguruma 6.9.10-1
openal 1.25.2-1
openbsd-netcat 1.238_1-1
opencore-amr 0.1.6-2
openexr 3.4.13-2
openh264 2.6.0-2
openjpeg2 2.5.4-1
openjph 0.30.1-1
openssh 10.3p1-1
openssl 3.6.3-1
opentabletdriver 0.6.7-2
openxr 1.1.60-1
opus 1.6.1-1
